propertyCode,Link,district,neighborhood,price,size,bed,br,floor,address,latitude,longitude,x,y,url,description,scraped_at
109696793,LINK,,,"1,199,000 €",164.0,3.0,2.0,1.0,Flat / apartment for sale in Calle d'Aragó,,,,,https://www.idealista.com/en/inmueble/109696793/,"FOR SALE: Amazing and bright renovated modernist apartment with terrace in the Eixample. This exceptional property FOR SALE is located on the “Principal” (first) floor, the most distinguished level, of a listed Modernist building near Passeig de Sant Joan, in the Eixample district. The high-end renovation, completed just two years ago, enhances the elegance and beauty of its original features such as the Nolla mosaic hydraulic floors, high ceilings with moldings, and the Catalan vaulted ceiling. The apartment offers 136 built interior sqm and 27 sqm of exterior areas, including a 24.85 sqm terrace and a 2.2 sqm balcony. Thanks to its high ceilings and dual orientation, it enjoys abundant natural light throughout the day. A spacious entrance hall leads to the left into the stunning day area, composed of two connected spaces: a living room and a dining area with an open kitchen — perfect for both everyday living and entertaining. The living room features an elegant glazed gallery and a balcony overlooking the street. The night area consists of three bedrooms. The main suite exudes distinction and tradition, with a Catalan vaulted ceiling and a dressing area with glass doors, as well as a private en-suite bathroom. Next to it, there is another double bedroom with a study area. Both rooms have access to the wonderful terrace overlooking the block courtyard, very sunny in the morning thanks to its southeast orientation. This will be your urban oasis, perfect for relaxing, enjoying breakfast, or spending time with family and friends. In the central part of the apartment, there’s a medium-sized bedroom, a separate bathroom, and a laundry area. The apartment is equipped with top-quality materials and finishings: parquet flooring, ducted hot/cold air conditioning, decorative fireplace in the living room, triple-glazed windows for excellent sound and thermal insulation, and integrated Bosch appliances. The terrace features an electric awning and an outdoor bathtub. The building also has an elevator. Here, you can enjoy the best of the Eixample and the Quadrat d’Or, just a few steps away, with their wide range of shops, restaurants, cultural venues, and services. You can stroll along the lively Passeig de Sant Joan or the new pedestrian Consell de Cent Street, and easily reach any part of the city by public transport. If you’re looking for the perfect balance between Barcelona’s classic charm and modern comfort and elegance, this is your home. Don’t hesitate to contact Bcn Advisors to arrange a visit. See complete comment",2026-04-17T17:04:12+00:00
110509586,LINK,,,"545,000 €",80.0,2.0,2.0,4.0,Flat / apartment for sale in Calle de Tamarit,,,,,https://www.idealista.com/en/inmueble/110509586/,We present this completely renovated apartment of great quality the apartment consists of two bedrooms two bathrooms with a large living room with open kitchen overlooking the street with air conditioning heating.,2026-04-17T17:04:56+00:00
110630744,LINK,,,"1,390,000 €",139.0,3.0,3.0,3.0,Flat / apartment for sale in Calle del Consell de Cent,,,,,https://www.idealista.com/en/inmueble/110630744/,"Excellent renovated apartment with original features FOR SALE in the Eixample. This flat FOR SALE is located in a stately building that was completely renovated in 2022 with new luxury homes, so it's in excellent condition. It's located on the intersection of Consell de Cent and Girona streets, both of which are pedestrianised, in the heart of the Eixample, next to Paseo Sant Joan and a few streets away from Paseo de Gracia and the city centre. The flat is on the real third floor of the building. It has 137 built interior sqm and 2 balconies totalling 4 sqm. It has a spacious entrance hall that clearly divides the day and night areas. The large living-dining room, with an open-plan kitchen, is very bright and has access to 2 balconies facing the street. The kitchen is equipped with high-end appliances. The night area consists of the master bedroom with en-suite bathroom, dressing room and access to a wonderful gallery; 2 double bedrooms sharing a separate bathroom, and a toilet. The bathrooms include top brand sanitary ware and taps. There is also a laundry area. The flat was completely renovated in 2022 with high-quality materials and new installations. Highlights include natural oak herringbone flooring in the main rooms, porcelain flooring in the bathrooms, radiator heating, Mitsubishi ducted air conditioning, radiator heating and LED lighting. In addition, beautiful original features have been preserved, such as Catalan vault in the gallery, wooden beams on the living room ceiling, white lacquered interior doors and shutters. The building retains the original features of its era, such as the façade and the balustrade in the common areas. It's surrounded by a multitude of services, shops, boutiques, leisure facilities, private schools, prestigious institutions and public transport options. This is a unique opportunity to live in a practically new flat with excellent qualities and the renowned architectural tradition of Barcelona, in a central area with the city at your feet but quiet at the same time. Do not hesitate to contact Bcn Advisors to visit this property. On our website you will find many more properties than those published here and we also have an extensive private catalogue of properties that may fit what you are looking for. See complete comment",2026-04-17T17:05:19+00:00
110063350,LINK,,,"2,200,000 €",271.0,3.0,3.0,1.0,Flat / apartment for sale in Calle de Girona,,,,,https://www.idealista.com/en/inmueble/110063350/,"Stunning refurbished modernist apartment with a large terrace in Eixample. This magnificent property is located in one of the most coveted streets in Eixample's right side, the prestigious Girona street. Located in a regal late 19th century estate, this property enjoys a privileged location in an area that will soon become an exclusive pedestrian promenade. It is also just a few steps away from Plaza Catalunya and Paseo de Gracia. The aparrment has been carefully refurbished to combine the splendour of modernism with the comfort and sophistication of contemporary design. The high ceilings with original mouldings and the carefully restored Nolla mosaic floors reflect the historical character of the property, while its layout and finishes guarantee maximum comfort. The flat has 184 built interior sqm and a total of 173 sqm of exterior space. It's on the ""Principal"" first floor, the most noble one. The living room, spacious and bathed in natural light, opens onto a charming porch that leads to a spectacular 145 sqm private terrace facing southwest. An urban oasis where you can enjoy the Mediterranean sun all day long, ideal for both relaxing moments and outdoor gatherings. The open concept kitchen is a space that combines functionality and style. Equipped with top-of-the-range panelled appliances, it has a large central island. In addition, there is a fully integrated laundry area and utility room. The night area offers 3 bedrooms, including an impressive master suite with original coffered ceilings and restored Nolla mosaic floors, a true homage to Barcelona's modernism. Two additional double bedrooms, an elegant full bathroom and a guest toilet complete this area. The master bedroom and another bedroom have access to a 5.5 sqm balcony overlooking the street. The bathrooms have been designed with a sophisticated style and the highest quality materials, achieving a perfect balance between historical charm and contemporary aesthetics. In addition, the property has several interior courtyards that bring light to all the spaces and a multipurpose room of 9.5 sqm on the terrace, ideal for transforming it into an additional bathroom or a summer kitchen. The property is equipped with ducted hot/cold air conditioning and heating radiators. Living in this apartment means enjoying one of the most emblematic and elegant areas of Barcelona. The wide avenues, modernist architecture and proximity to Paseo de Gracia create an exclusive environment. The area offers excellent connectivity, luxury boutiques, fine dining restaurants and all the essential services: supermarkets, schools, medical centres and gyms. Do not hesitate to contact Bcn Advisors to visit this flat. On our website you will find many more properties than those published here and we also have an extensive private catalogue of properties that may fit what you are looking for. See complete comment",2026-04-17T17:05:57+00:00
110182478,LINK,,,"2,195,000 €",221.0,5.0,3.0,5.0,Flat / apartment for sale in Calle de Mallorca,,,,,https://www.idealista.com/en/inmueble/110182478/,"Outstanding brand new apartment in a stately building next to Paseo de Gracia. This wonderful flat has been completely refurbished with top-quality materials and finishings, maintaining the beauty of its original architectural features. It's in one of the most sought-after locations in Eixample's right side, just one block from Paseo de Gracia and very close to Rambla Catalunya and Avenida Diagonal. The property is on the real fifth floor of a century-old building with a lift and a concierge. It has 201 built interior sqm and a 4.35 sqm balcony (221 sqm according to the Land Registry, including common elements). The impressive 60 sqm living area is a space that adapts to all your needs to offer you maximum comfort in your daily life. It is very quiet because it overlooks the block courtyard and is bright thanks to its height. It allows you to differentiate between the living room and dining room areas and also has two galleries to create a more relaxed atmosphere. The open-plan kitchen is fully equipped with high-end appliances (including a wine cooler) and has a high table. The living area is completed by an open studio, ideal for setting up an office and teleworking, and a laundry room next to the kitchen. The night area is headed by an impressive en-suite bedroom with a walk-in wardrobe, private bathroom and access to the balcony. There is also a double bedroom with access to the balcony, another interior double bedroom and a medium-sized interior bedroom. Finally, there are two separate bathrooms with Italian taps by Zanetti Chini, one with a bathtub and the other with a shower. The finishings and the interior design of this flat are absolutely fabulous, highlighting the beautiful Catalan vaulted ceiling in the living room and main bedrooms. The flat is equipped with natural wood herringbone parquet flooring, ducted air conditioning, natural gas radiators and built-in wardrobes. The price also includes a storage room on the rooftop of the building. The area surrounding this flat offers all kinds of services, shops, designer boutiques, restaurants and public transport options. A beautiful setting where the modernist buildings convey the purest essence of living in Barcelona. Do not hesitate to contact Bcn Advisors to visit this property. On our website you will find many more properties than those published here and we also have an extensive private catalogue of properties that may fit what you are looking for. * The listed price does not include taxes (ITP or VAT, as applicable, and AJD where applicable), as well as notary fees, land registry fees, administrative costs, and any other expenses arising from the transaction, all of which shall be borne by the buyer. See complete comment",2026-04-17T17:06:22+00:00
106144229,LINK,,,"1,460,000 €",248.0,4.0,4.0,3.0,Flat / apartment for sale in La Dreta de l'Eixample,,,,,https://www.idealista.com/en/inmueble/106144229/,"Stunning and spacious brand new refurbished apartment in the centre of Barcelona. This wonderful flat has an enviable location in Barcelona, just one street away from Plaza Catalunya and Paseo de Gracia. You will be able to enjoy the charm of the Eixample and all the advantages of the city centre, with the best range of services, shops, theatres, prestigious institutions and public transport in the whole of Barcelona. The flat has been refurbished brand new and maintains beautiful original elements such as the Catalan vault in the ceilings and exposed brick walls. It has 248 built sqm surface area and is on the real 3rd floor of a classic building with lift, concierge and commmunal terrace. A large entrance hall welcomes us to the apartment. The impressive living-dining room with open kitchen has a surface area of 67 sqm plus a 20 sqm gallery with large windows overlooking the block courtyard. This allows you to enjoy a large space that is cosy, bright and quiet, creating different atmospheres to your liking. The high ceilings enhance the feeling of calm and spaciousness. The designer kitchen has a central island and is fully equipped with top of the range home appliances. The night area has 4 bedrooms, 2 of which are en-suite with a dressing room and en-suite bathroom. The master suite occupies one end of the flat and faces the street. The second suite is next to the living room and has a gallery overlooking the block courtyard. The other 2 bedrooms (one double and one medium-sized) are interior but bright. Finally, there's a separate bathroom. The property is equipped with parquet floors and ducted aerothermal system for air-conditioning. Do not hesitate to contact Bcn Advisors to visit this flat. On our website you will find many more properties than those published here and we also have an extensive private catalogue of properties that may fit what you are looking for. See complete comment",2026-04-17T17:07:01+00:00
109488303,LINK,,,"1,790,000 €",199.0,3.0,3.0,1.0,Flat / apartment for sale in Calle de Girona,,,,,https://www.idealista.com/en/inmueble/109488303/,"This comment was automatically translated and may not be 100% accurate. See description in the original language Newly renovated exterior apartment with balcony on calle Girona, Eixample. Nobohome, a boutique property developer in Barcelona and the Costa Brava, is the owner of the following property for sale: A stunning 183 m2 apartment on the 3rd floor that enjoys abundant natural light due to several balcony doors that look over calle Girona. Newly renovated and designed. The open-plan kitchen and dining area seamlessly connect to the living room, that has its own bar / pantry with 2 wine fridges and a second dish washer. The veranda attached to the kitchen is a great spot for a morning coffee. The home offers furthermore three spacious bedrooms and a total of three bathrooms, providing both privacy and comfort. The master bedroom has its own large balcony. Premium finishes, oak flooring and high-end materials define every detail of this home, combining timeless elegance with contemporary design. Large windows and high ceilings create a sense of openness and luminosity that perfectly complements the architectural beauty of the building. This property represents an opportunity to acquire a fully renovated, move-in-ready home in one of Barcelona’s most desirable locations—ideal for those seeking space, light, and modern luxury in the heart of the city. Price: 1.790. 000€. See complete comment",2026-04-17T17:07:44+00:00
110055339,LINK,,,"960,000 €",114.0,3.0,2.0,7.0,Flat / apartment for sale in Calle del Comte d'Urgell,,,,,https://www.idealista.com/en/inmueble/110055339/,"This comment was automatically translated and may not be 100% accurate. See description in the original language We present this spectacular, fully renovated apartment with high-quality finishes and located just a few meters from Francesc Macià, one of the most valued areas of Barcelona. Surrounded by shops, services, restaurants, and excellent public transport connections, this apartment offers comfort and style in a privileged environment. The property has a spacious and bright 30 m2 living-dining room with direct access to a fully equipped modern kitchen, accompanied by a practical gallery. The sleeping area consists of three bedrooms: an elegant suite, a double bedroom, and a single bedroom, all designed to offer comfort and functionality. It also has ducted air conditioning throughout the apartment and a large terrace, ideal for enjoying the outdoors, creating a chill-out space, or sharing moments with family and friends. Located next to Diagonal and Turó Park, this apartment represents a unique opportunity for those looking for a modern, comfortable home in an unbeatable location. Don't miss this opportunity and contact us without obligation. See complete comment",2026-04-17T17:08:29+00:00
111026222,LINK,,,"2,700,000 €",241.0,3.0,4.0,1.0,Flat / apartment for sale in Calle de Roger de Llúria,,,,,https://www.idealista.com/en/inmueble/111026222/,"This comment was automatically translated and may not be 100% accurate. See description in the original language Exclusive luxury apartment in the El Quadrat d'Or of Eixample Located in the heart of the prestigious Eixample Right, within the coveted El Quadrat d'Or, this exceptional apartment represents the essence of Barcelona's most sophisticated lifestyle. With a privileged position at the intersection of Calle Provença and Carrer de Roger de Llúria, the home enjoys extraordinary luminosity and open views that enhance its unique character. Elegance, Light, and Architecture The property features three elegant French windows facing Provença and four majestic curved windows on the corner, which provide a singular architectural charm and an abundant influx of natural light throughout the day—both on the main and rear facades. The impressive 4-meter high ceilings amplify the sense of spaciousness and sophistication, creating spaces that evoke the grandeur of an urban palace. Sustainable Integral Renovation The apartment has been completely renovated with a sustainable approach, combining energy efficiency, high-quality materials, and contemporary design, while respecting the stately character of the building. Exceptional Layout From a spacious and elegant hexagonal entrance, equipped with a generous walk-in closet and a guest toilet, you access the spectacular living area. The main space—an impressive living-dining room with an integrated kitchen of approximately 80 m²—offers a unique experience: spaciousness, light, and a high-level interior design that conveys luxury and comfort in every detail. The kitchen, made of refined walnut wood, is fully equipped with SMEG appliances, while the living and dining rooms have been carefully designed and furnished by Nobohome, providing a contemporary and elegant aesthetic. Night Zone The home has three spacious bedrooms: * An elegant suite accessible from the living room, with a private bathroom, walk-in closet, and an exclusive ""beauty nook."" * A spacious master suite at the rear, with a walk-in closet and en-suite bathroom. * A third bedroom with its own walk-in closet and a full bathroom located opposite it. Each space has been designed to offer privacy, comfort, and functionality, maintaining a coherent and refined aesthetic. A Unique Experience in Barcelona This property represents the best of the Barcelona lifestyle: light, elegance, privileged location, and an exceptional level of finish. An apartment where every day is lived as an experience. We will finish the apartment in late April, early May. Visits can be requested, with the understanding that some details are still pending. See complete comment",2026-04-17T17:08:59+00:00
110823853,LINK,,76.0,"2,150,000 €",183.0,3.0,3.0,3.0,"Flat / apartment for sale in Calle de Pau Claris, 76",,,,,https://www.idealista.com/en/inmueble/110823853/,"Nestled in the vibrant heart of Barcelona's historic and elegant Eixample district, this exquisite residential apartment combines the charm of the past with the sophistication of today. The property, originally built in 1900 and meticulously refurbished in 2023, spans 183 square meters and features three bedrooms, each with its own en-suite bathroom, ensuring privacy and comfort. Inside, the property features an open plan kitchen with stylish integrated units, which are beautifully complemented by the rustic charm of the original wooden floors and high ceilings. Central electric and geothermal heat pump options ensure year-round climate control, while south-facing windows flood the space with natural light and offer picturesque views of one of Eixample's main streets. Located moments from cultural beacons, the bustling city center, top-notch restaurants and essential public transportation services, this property is perfectly positioned in the center to enjoy the art and culture that Barcelona has to offer. Nearby, you'll find renowned schools and healthcare facilities, enriching residents' lives with unparalleled sophistication and urban amenities. Just steps away from the apartment are both Paseo de Gracia and Plaza Catalunya. La Dreta de L’Eixample begins in Plaça de Catalunya and its central axis revolves around the Passeig de Gràcia and the Cuadrat d’Or. It is delimited from the busy Calle Balmes to the renovated Passeig de Sant Joan and from the commercial Ronda Sant Pere to the convenient Avinguda Diagonal. It is one of the most expensive and exclusive neighborhoods in Barcelona, along with Pedralbes and Sarrià-Sant Gervasi. It is impossible not to make reference to the luxury of Passeig de Gràcia, with the boutiques of the most exclusive brands in the world, or to the stores on La Rambla de Catalunya. However, the rest of its streets are as or more interesting. In them resided part of the Catalan textile bourgeoisie of the early twentieth century, which has left its mark on the spectacular royal estates and modernist houses designed by the most famous architects of the time, as the Pedrera or Casa Batlló of the great Antoni Gaudí. As a result, the characteristic homes of this neighborhood are spacious apartments with high ceilings, moldings, elaborate flooring and balconies. Many buildings and apartments preserve this original architectural heritage and it is possible to find recently remodeled apartments, penthouses, lofts and even studios, which revive these elements, as well as apartments with a lot of potential to be reformed. This side of L’Eixample is equipped with all kinds of services and stores, as well as educational centers, mainly state-subsidized and private schools. You will find it very easy to move around on foot or through the public transport connections to the most expensive stores and restaurants in the city. The Eixample Dreta is the best neighborhood if you want to admire and live in the noble zone of the fascinating Catalan modernism, to reside in one of its characteristic regal estates, and to coexist in perfect balance with the vibrant and luxurious commercial life. It is ideal if you want to walk every day through its wide and tidy streets, with easy transport connections, have all kinds of services and facilities available, including arranged or private schools, and enjoy the most chic, cultural and cosmopolitan atmosphere in Barcelona. See complete comment",2026-04-17T17:09:30+00:00
